case,rows,energy_balance_J,converter_balance_J,motor_balance_J,credit_balance_J,task_voltage_min_V,task_voltage_max_V,task_voltage_rms_deviation_from_source_V,task_cycle_mean_current_tracking_rmse_A,restoration_within_1_percent_s,task_source_J,restore_source_J,source_total_J,task_charge_J,task_return_J,task_net_regeneration_J,task_chopper_J,all_cycle_min_rpm,all_cycle_peak_current_A,final_rpm
01_nominal_bypass,9001,3.4217136999359354e-06,2.2220234541237005e-08,6.464443313980439e-08,0.0,58.3548937575233,68.7087533450221,3.6626029378279275,0.0,8.61,1773.58289248486,16872.78606286214,18646.368955347,0.0,0.0,547.999177824841,349.387614001684,2866.25821272912,20.0485967652138,3000.00000000008
02_nominal_dispatch,9001,3.616971298470162e-06,1.938840910042927e-08,7.052292505527191e-08,1.77404757550903e-11,58.3709020730952,67.2628308839427,3.0586030120059204,0.17830794084741924,7.870000000000001,1696.92408871659,16505.31688089381,18202.2409696104,373.902508366299,89.9833857587276,547.999177824841,0.0,2875.2647497556,20.0467943449355,3000.00000000007
03_friction_bypass,9001,8.807965059531853e-06,1.7064451185433427e-08,1.5743328862782846e-08,0.0,58.3548937575233,68.7087533450221,3.6626029378279275,0.0,19.11,1773.58289248486,28202.60608622644,29976.1889787113,0.0,0.0,547.999177824841,349.387614001684,2801.32154420873,20.0473098748333,3000.00000000463
04_friction_dispatch,9001,8.496339432895184e-06,1.2444900221453281e-08,3.3518496866946634e-08,3.2383873360686266e-11,58.3708630388652,67.2625112474766,3.0593183016865617,0.17077908188948018,18.03,1708.72267344358,27795.74147298592,29504.4641464295,373.827231241242,78.4667166535595,547.999177824841,0.0,2811.13718223595,20.0472794845202,3000.00000000325
05_combined_bypass,9001,9.525858331471682e-06,3.904915502062067e-09,8.039104160140198e-09,0.0,54.3505319102833,68.7091122038106,5.046165375637453,0.0,18.450000000000003,1787.36027269404,32983.404827787264,34770.7651004813,0.0,0.0,547.999177824841,337.161848930579,2843.13614430801,20.0191816529627,3000.00000001428
06_combined_dispatch,9001,9.534138371236622e-06,5.954689186182804e-09,1.171818775347333e-08,1.2946088645549025e-11,54.3673766137545,67.0536168790554,3.996917006709474,0.1899149430034136,17.5,1728.60381576567,32532.83498872643,34261.4388044921,375.698716442557,77.5903034675963,547.999177824841,0.0,2849.79982562122,20.0190307158781,3000.00000000045
07_pulse_bypass,9001,9.516959835309535e-06,5.326910468284041e-09,1.0392916194312818e-08,0.0,54.5240273593489,69.0079590109028,8.287993399364836,0.0,18.450000000000003,2041.1219966812,33019.9262012775,35061.0481979587,0.0,0.0,2600.00000000997,2473.01914189441,2843.13369900226,20.01901840906,3000.00000001426
08_pulse_dispatch,9001,9.656083420850337e-06,4.094999894732609e-09,1.993932863264547e-08,4.590106073010247e-11,54.5239031174089,68.0963140212849,7.5314054373835875,0.4019789713334375,12.270000000000003,1767.33487610353,29964.25432975527,31731.5892058588,2344.684814761,269.597871784692,2600.00000000997,140.270161239263,2886.24184657147,20.0188119568215,2999.99999999233
09_no_regeneration,2001,1.9522221919032745e-06,9.43689570931383e-15,3.8719932671109037e-17,0.0,54.3504070569417,57.0,1.139980970497131,8.652600782444746e-07,,1978.23301090448,0.0,1978.23301090448,1.79670218723226,1.5087085401597,0.0,0.0,2843.14910183653,0.0204475002842288,2843.14910183653
10_high_source,2001,1.0319313332729507e-06,1.1102230246251565e-11,1.0699776350653441e-11,9.378453569297562e-11,62.0327255402467,67.2861025152478,1.7364735327339191,0.15885554597545934,,1735.86040979718,0.0,1735.86040979718,415.563400459701,69.8093600938741,547.999177824841,0.0,2879.03338820851,10.8700115565107,2879.03338820851
11_credit_depletion,2001,1.9786775737884454e-06,1.8691714842589136e-12,2.0576112110525915e-12,1.2324097298233028e-10,54.5239031713639,65.409265590234,2.875816235455619,0.14876499399410126,,5554.2728698203,0.0,5554.2728698203,80.619675389443,35.011016248358,120.000000000284,0.0,2843.67888173828,5.60361919304537,2843.67888173828
