case_name,task_s,restore_s,max_balance_J,max_current_A,max_reference_A,Vmin,Vmax,nmin,nmax,high_direction_error_A,low_direction_error_A,blocked_reference_A,block_entry_i_A,block_end_i_A,zero_events,max_midpoint_iterations,midpoint_defect,ledger_split_error_J,device_split_error_J,task_source_J,restore_source_J,total_source_J,total_losses_J,task_chopper_J,task_charge_J,task_return_J,load_J,channel_J,diode_J,transition_J,oss_J,gate_J,final_rpm,final_i_A,final_V,target_rpm_error,target_mean_current_error_A,final_second_store_drift_J,plant_R,plant_L,plant_J,plant_b,plant_Tc,plant_Ron,plant_Rd,plant_Vf,plant_Vs,plant_Rs,plant_C,plant_deadtime_s,controller_R,controller_b,controller_deadtime_s,controller_Kp,controller_Ki,speed_Kp,speed_Ki,speed_pi_enabled,speed_integrator_A,recovery_credit_J,credited_J,spent_J,leaked_J,initial_bus_V,credit_decay_per_s,credit_margin,credit_reserve_J,credit_time_s,loss_fraction
01_nominal_bypass,20,70,3.42196290148422e-06,20.0485967652138,20,56.5944734780348,68.7087989393962,2866.25821272912,3001.62209439446,0,0,0,0,0,0,5,4.9737991503207e-13,2.27373675443232e-13,1.97715621652605e-09,1773.58289248486,16872.7860628621,18646.368955347,17277.7245588964,349.387614001684,0,0,1372.90268125151,144.149551460761,21.231425347812,38.2524162398019,1.49140780434004,0.839884800015297,3000.00000000008,7.28372330746069,59.1964841243939,8.45830072648823e-11,4.53953585832778e-09,6.01240373043765e-10,0.8,0.02,0.51,0.001,0.05,0.02,0.01,0.7,60,0.3,0.1,1e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,-4.65274517475626e-09,0,0,0,0,60,0.02,0.9,5,0.2,0.25
02_nominal_dispatch,20,70,3.6174515116727e-06,20.0467943449355,20,56.5944697908256,67.2637058090889,2875.2647497556,3001.62124305443,0,0,0,0,0,7480,5,4.9737991503207e-13,1.43487000059395e-10,2.00591898646962e-09,1696.92408871659,16505.3168808938,18202.2409696104,16833.596572991,0,373.902508366299,89.9833857587276,1372.90268125151,142.344655569249,21.6164112421778,39.3155140477428,1.63459915193785,1.07977500000743,3000.00000000007,7.28372330691905,59.1964841244049,7.23048287909478e-11,4.53953585832778e-09,3.99398629724601e-10,0.8,0.02,0.51,0.001,0.05,0.02,0.01,0.7,60,0.3,0.1,1e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,-4.66841460986509e-09,111.337583240681,233.731457334022,112.175145938154,10.2187281551713,60,0.02,0.9,5,0.2,0.25
03_friction_bypass,20,70,8.80795778357424e-06,20.0473098748333,20,56.5944361056526,68.7087989393962,2801.32154420873,3000.18627569391,0,0,0,0,0,0,5,4.9737991503207e-13,1.13686837721616e-13,6.70695499138674e-10,1773.58289248486,28202.6060862265,29976.1889787113,28610.3007292027,349.387614001684,0,0,1372.90268125151,281.216533117357,33.0134193009034,56.3877650521417,1.45342113989506,0.839886000015297,3000.00000000463,10.9253902797254,58.6160277500432,4.63069227407686e-09,1.24936452294833e-08,2.3738646888205e-08,0.8,0.02,0.51,0.0015,0.075,0.02,0.01,0.7,60,0.3,0.1,1e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.6415926455768,0,0,0,0,60,0.02,0.9,5,0.2,0.25
04_friction_dispatch,20,70,8.49630305310711e-06,20.0472794845202,20,56.5944238589612,67.263391500113,2811.13718223595,3000.18453356857,0,0,0,0,0,6914,5,4.9737991503207e-13,8.44266878630151e-11,6.19195361650782e-10,1708.72267344358,27795.7414729859,29504.4641464295,28138.5758966334,0,373.827231241242,78.4667166535595,1372.90268125151,278.51552752562,33.3504849027523,57.3991571291421,1.58607630644365,1.07977200000743,3000.00000000325,10.9253902812906,58.6160277498126,3.2487150747329e-09,1.24936452294833e-08,2.27458136237146e-08,0.8,0.02,0.51,0.0015,0.075,0.02,0.01,0.7,60,0.3,0.1,1e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.64159264443091,121.674228402152,232.108534089139,99.0415318734321,11.3927738135231,60,0.02,0.9,5,0.2,0.25
05_combined_bypass,20,70,9.52582195168361e-06,20.0191816529627,20,50.5276967781254,68.7091447474619,2843.13614430801,3000.52635613148,0,0,0,0,0,0,5,4.9737991503207e-13,1.13686837721616e-13,3.20142135024071e-10,1787.36027269404,32983.4048277872,34770.7651004813,33407.9107473066,337.161848930579,0,0,1372.90268125151,406.352340574054,79.9110780859277,51.7944625714678,1.23899285688505,0.839910600015298,3000.00000001428,10.9266926126902,54.5609596835086,1.42804310598876e-08,3.52310127738065e-08,6.24190083655662e-07,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.64159263398998,0,0,0,0,57,0.02,0.9,5,0.2,0.25
06_combined_dispatch,20,70,9.53402923187241e-06,20.0190307158781,20,50.5277064417879,67.0570055572403,2849.79982562122,3000.52746946214,0,0,0,0,0,10714,5,4.9737991503207e-13,1.43543843478255e-10,1.74736669578124e-10,1728.60381576567,32532.8349887264,34261.4388044921,32898.5844516387,0,375.698716442557,77.5903034675963,1372.90268125151,403.195938393304,80.7043584143225,52.857555339446,1.371480001434,1.07974020000744,3000.00000000045,10.9266926260946,54.5609596790912,4.46561898570508e-10,2.15885922472125e-08,3.42367336756411e-07,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.64159263235547,104.839935807651,219.102523762654,105.144860554736,9.11772740025471,57,0.02,0.9,5,0.2,0.25
07_pulse_bypass,20,70,9.51686524786055e-06,20.01901840906,20,50.5277082292881,69.0079590109028,2843.13369900226,3000.52767540642,0,0,0,0,0,0,5,4.9737991503207e-13,2.27373675443232e-13,1.17381659947569e-10,2041.1219966812,33019.9262012775,35061.0481979587,35571.0965260286,2473.01914189441,0,0,-500.00000000149,406.355331249266,79.9091909310614,51.7866858223677,1.23874278778145,0.839887200015297,3000.00000001426,10.9266926128154,54.5609596835136,1.42572389449924e-08,3.29572760193741e-08,6.24759290730026e-07,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.64159263394721,0,0,0,0,57,0.02,0.9,5,0.2,0.25
08_pulse_dispatch,20,70,9.65589060797356e-06,20.0188119568215,20,50.5277396684297,68.0963144750028,2886.24184657147,3000.53130052695,0,0,0,0,0,7201,5,4.9737991503207e-13,2.14015472010942e-10,8.67544258653652e-10,1767.33487610353,29964.2543297553,31731.5892058588,32241.6375345786,140.270161239263,2344.684814761,269.597871784692,-500.00000000149,388.7814588064,82.7125591401872,56.4660213915925,1.58110460971105,1.07956920000747,2999.99999999233,10.926692644442,54.5609596727613,7.66613084124401e-09,3.39869821175398e-09,3.37811019335277e-09,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,3.6415926419638,635.402207639581,1192.09334363958,394.404019748963,162.28711625108,57,0.02,0.9,5,0.2,0.25
09_no_regeneration,20,0,1.95213078768575e-06,0.0204475002842288,0,54.3504070569414,57,2843.14910183653,3000,0,0,0,0,0,0,5,4.9737991503207e-13,3.61932706027801e-14,1.4852008511923e-12,1978.23301090448,0,1978.23301090448,3324.49184925592,0,1.79670218723226,1.5087085401597,1920.9018590757,6.36772091458079e-05,0.0228781517024589,0.0224141952532072,0,0.23999999999851,2843.14910183653,-3.75135594422316e-05,56.8415513090204,156.850898163471,10.9247779607956,155.687328188461,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,0,-3.55858367200398e-05,0,3.55858367200398e-05,0,57,0.02,0.9,5,0.2,0.25
10_high_source,20,0,1.03203774415306e-06,10.8700115565107,10.8479739062121,62.0327255402444,67.2867616599179,2879.03338820851,3000,0,0,0,0,0,5516,5,4.9737991503207e-13,9.06652530829888e-12,1.60138569071933e-12,1735.86040979718,0,1735.86040979718,2352.04412472709,0,415.563400459701,69.8093600938741,1372.90268125151,3.11918127247703,0.74100257656064,1.60000370499767,0.156349882322545,0.239935199998511,2879.03338820851,-1.12060972754652e-05,62.9486173925271,120.966611791489,7.28318509859977,125.805540928583,0.8,0.02,0.51,0.001,0.05,0.02,0.01,0.7,63,0.2,0.12,1e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,0,163.168260912781,259.256233627816,78.3172513856528,17.7707213294741,63,0.02,0.9,5,0.2,0.25
11_credit_depletion,20,0,1.9785788936133e-06,5.60361919304537,5.57784161642335,54.5239031713628,65.409265590234,2843.67888173828,3000,0,0,0,0,0,5611,5,4.9737991503207e-13,5.85487214266323e-12,1.51434420558871e-12,5554.2728698203,0,5554.2728698203,3541.02022836305,0,80.619675389443,35.011016248358,5279.99999999828,0.871926062448669,0.481964851930286,0.424558929172106,0.0471361416596154,0.239899799998512,2843.67888173828,-3.87440847166298e-05,54.5239037458054,156.321118261717,10.9247779607649,155.741176109356,1,0.014,0.65,0.0015,0.075,0.03,0.015,0.8,57,0.45,0.08,2e-06,0.8,0.001,1e-06,25.1327412287183,1030.44239037745,10.18,2.55,1,0,3.60417527930732,51.9802641394195,46.0072332688416,2.36885559114734,57,0.02,0.9,5,0.2,0.25
