SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
1,1.03163823589477,1.00345359344888,35.2913471663927,0.0962581887285694,0.0962576363561354,5.52372434015069e-07,5.52418711663449e-07,0.097674999811872,0.0976744523515123,1
2,1.03151693197588,1.01739540799197,37.4515352665392,0.106313246073697,0.10631650092688,-3.25485318342089e-06,3.28057177512164e-06,0.0926098617364346,0.0926098784526346,1
3,1.02824933163325,1.0328991542492,33.5437476910294,0.0385786802073014,0.0385803559853244,-1.67577802301366e-06,1.67581042376241e-06,0.0450319313153287,0.0450320834834912,1
4,0.95237414286743,1.04978528655841,35.8413188655556,0.0376047699726527,0.0376026072693421,2.16270331065971e-06,2.16295531174637e-06,0.0318860248072923,0.03188596474088,1
5,0.952625466067301,0.967995812406166,35.54968531632,0.0883739962108976,0.0883708006728838,3.19553801375605e-06,3.19645728552587e-06,0.0918713676271992,0.0918681199485434,1
6,0.980811560912001,1.03113517912167,32.9010649048653,0.0230949752973117,0.0230973594889434,-2.38419163167691e-06,2.38419870868256e-06,0.0291412032742215,0.0291408870942718,1
7,0.968149241270001,1.01104320409591,36.6235380970469,0.0801238362942556,0.0801240369580327,-2.00663777150112e-07,2.00952896989293e-07,0.0684534836999404,0.0684537649713306,1
8,0.989379033594595,0.988940177606604,33.6763743742425,0.0572376967457942,0.0572353642491663,2.33249662784374e-06,2.33256700710172e-06,0.0630248683782071,0.0630229021751774,1
9,1.04581240805636,1.0370017434056,34.596756840195,0.0558962007206745,0.0558960068070036,1.93913670898382e-07,1.93974997841906e-07,0.0620461567071402,0.0620461025571686,1
10,1.01541719359932,0.951501518746726,33.3889846946347,0.0808659505875369,0.0808648743631366,1.07622440026489e-06,1.07632610024666e-06,0.0888603818165379,0.0888589908927671,1
11,0.986608447514797,0.965057042523135,34.7031002648682,0.0937903750991964,0.0937904961352203,-1.21036023870147e-07,1.21201409797322e-07,0.0979501404578471,0.0979504596606162,1
12,0.989987246074766,1.02554539038187,34.3231264032846,0.0471433665676315,0.0471437720272192,-4.05459587682344e-07,4.05475958586976e-07,0.0507574650096529,0.0507574911839797,1
